Wavelength[nm],Intensity[normalized],Phase[rad]
755.92,0.22168521,0.48945344
756.36,0.26211303,0.45814613
756.80,0.30638978,0.42034193
757.24,0.33296876,0.37603733
757.68,0.32954246,0.32474055
758.12,0.29993979,0.26840123
758.56,0.25932496,0.20603932
759.00,0.22635495,0.13667479
759.44,0.21837000,0.05688621
759.88,0.24686969,-0.02698223
760.32,0.31392445,-0.11395740
760.76,0.41184445,-0.20355445
761.20,0.52694571,-0.29431198
761.64,0.64537709,-0.38623341
762.07,0.75312101,-0.47834556
762.51,0.83603582,-0.57016358
762.95,0.88724110,-0.66022599
763.39,0.91031061,-0.74853620
763.83,0.91378025,-0.83412100
764.27,0.90400469,-0.91551891
764.71,0.88147496,-0.99126846
765.15,0.84353629,-1.06234955
765.59,0.79184743,-1.12778896
766.03,0.73374846,-1.18710174
766.47,0.67508096,-1.23931464
766.91,0.61839729,-1.28394269
767.35,0.56640087,-1.32050093
767.79,0.52035627,-1.34801608
768.23,0.47842523,-1.36600315
768.67,0.43805285,-1.37348886
769.10,0.39743457,-1.37047647
769.54,0.35506878,-1.35550441
769.98,0.30943269,-1.28804859
770.42,0.26014151,-1.20912787
770.86,0.21011104,-1.11972205
771.30,0.16547746,-1.02081093
771.74,0.13170282,-0.91337429
772.18,0.11020487,-0.79888018
772.62,0.09918758,-0.67782009
773.06,0.09550481,-0.55117378
773.49,0.09568326,-0.41992100
773.93,0.09729221,-0.28504149
774.37,0.09924018,-0.14702669
774.81,0.10135965,-0.00783291
775.25,0.10418642,0.13302499
775.69,0.10781453,0.27407902
776.13,0.11155181,0.41386119
776.57,0.11551475,0.55139182
777.00,0.12259179,0.68569120
777.44,0.13672404,0.81577968
777.88,0.15787922,0.94018929
778.32,0.18266103,1.05891695
778.76,0.20817126,1.17000642
779.20,0.23210458,1.27247807
779.63,0.25271059,1.36632882
780.07,0.27006453,1.44911420
780.51,0.28704625,1.51936630
780.95,0.30868102,1.54192582
781.39,0.33628417,1.55292253
781.83,0.36258224,1.55186511
782.26,0.38323212,1.53972710
782.70,0.40695706,1.51699375
783.14,0.43788401,1.48366205
783.58,0.46375832,1.43972899
784.02,0.47785045,1.38665643
784.45,0.49237636,1.32346480
784.89,0.51478103,1.25161597
785.33,0.52733960,1.17159523
785.77,0.50965817,1.08242307
786.21,0.46432347,0.98067855
786.64,0.40349022,0.85903450
787.08,0.34341697,0.73115984
787.52,0.31818834,0.59753992
787.96,0.35436734,0.45914838
788.40,0.42886485,0.31793540
788.83,0.48242525,0.17438636
789.27,0.47733883,0.02898663
789.71,0.42856286,-0.11680186
790.15,0.38366280,-0.26151714
790.58,0.38501838,-0.40516212
791.02,0.45656418,-0.54627482
791.46,0.60474456,-0.68339328
791.90,0.79378837,-0.81310240
